iter	RMSE
0	1807.513866
1	1530.290251
2	1307.465701
3	1133.097374
4	994.3247129
5	882.540372
6	805.6529668
7	746.7022461
8	695.1690885
9	650.0012668
10	608.5349881
11	582.3995656
12	560.8924122
13	540.8844302
14	518.8462688
15	503.2189011
16	488.6948209
17	472.4497681
18	461.1765094
19	451.7320269
20	439.6421764
21	431.9676699
22	423.1348325
23	417.060412
24	408.8524665
25	402.8382952
26	397.8610846
27	392.4494316
28	387.632413
29	382.1485319
30	378.3538812
31	374.5624848
32	371.4373073
33	368.9706206
34	364.3964317
35	361.5194567
36	358.385873
37	355.9645488
38	350.541298
39	346.7135482
40	344.3566377
41	338.7683522
42	335.5586861
43	333.7756065
44	330.2338718
45	326.6092807
46	324.5679496
47	321.7317119
48	319.2620937
49	316.4993577
50	315.6127718
51	314.4442577
52	312.3854743
53	309.4714571
54	307.6778926
55	305.9710393
56	304.5588796
57	301.2113043
58	299.8356484
59	297.9255581
60	296.263427
61	294.7914592
62	293.0035693
63	291.4759712
64	290.1843906
65	289.1647028
66	287.0148433
67	286.0723541
68	285.2823647
69	284.1545515
70	282.6162476
71	281.6397729
72	280.761155
73	279.6786968
74	278.4736333
75	277.1203163
76	275.8790474
77	274.7253994
78	274.2446854
79	273.1502823
80	271.9898331
81	271.3303752
82	269.9006018
83	269.4539049
84	267.5182458
85	265.7787975
86	264.5360796
87	263.6643219
88	262.1421422
89	260.9203567
90	260.1048736
91	259.5657755
92	258.8542001
93	258.3749524
94	256.833649
95	255.4220524
96	254.1653871
97	253.5014734
98	252.6889775
99	251.8848683
100	251.170262
101	250.6752933
102	249.6641668
103	248.926693
104	248.5634194
105	248.0953409
106	247.1007156
107	246.3833004
108	245.5232387
109	244.9428846
110	244.3430141
111	243.6247134
112	242.4038185
113	241.5633427
114	240.767792
115	240.176458
116	239.4874342
117	238.8759587
118	237.9725664
119	237.2558643
120	236.7309189
121	236.0790045
122	235.5216853
123	234.8411305
124	234.3948998
125	233.6328239
126	232.6610399
127	232.1771448
128	231.8036432
129	231.4549997
130	231.0084874
131	230.8115679
132	230.3148151
133	229.7388482
134	229.1823364
135	228.8267133
136	228.2658092
137	227.8121864
138	226.8240666
139	226.1479186
140	225.7967731
141	224.9955146
142	224.5702619
143	224.0687394
144	223.8194809
145	223.4587254
146	222.493206
147	221.7310943
148	221.165436
149	220.4759634
150	220.1972544
151	219.8155521
152	219.4964713
153	219.2557542
154	219.028714
155	218.7797579
156	218.3042061
157	217.6735729
158	217.0419115
159	216.6889688
160	216.4200872
161	216.132008
162	215.5373257
163	215.2012099
164	214.787092
165	214.3377488
166	214.0086642
167	213.6432727
168	213.0304489
169	212.7533872
170	212.416503
171	211.9790198
172	211.6778368
173	211.2892338
174	210.7528377
175	210.432694
176	210.2484242
177	209.9486794
178	209.5390746
179	208.8725951
180	208.4993496
181	208.0107933
182	207.6134218
183	207.2892164
184	207.0773024
185	206.8423814
186	206.2634433
187	206.0944122
188	205.7087792
189	205.3805657
190	205.1758604
191	204.3900826
192	203.9622848
193	203.7162099
194	203.233014
195	202.8625942
196	202.6881389
197	202.3199386
198	201.7907842
199	201.1439889
200	200.630375
201	200.305907
202	199.8273365
203	199.5603603
204	199.1791361
205	198.9580312
206	198.7632437
207	198.2195417
208	197.8532827
209	197.4360324
210	197.1723599
211	196.7443603
212	196.547498
213	196.3856836
214	196.1461555
215	195.7909058
216	195.4844093
217	195.2950153
218	195.0219514
219	194.8053308
220	194.2533703
221	194.0428862
222	193.3699995
223	192.6740871
224	192.4698731
