iter	Passed	Remaining
0	6	3347
1	11	2938
2	17	2894
3	22	2794
4	27	2752
5	32	2666
6	37	2606
7	41	2554
8	46	2525
9	50	2472
10	54	2427
11	59	2410
12	63	2374
13	67	2342
14	71	2314
15	76	2305
16	80	2284
17	84	2265
18	88	2244
19	93	2239
20	97	2221
21	101	2201
22	105	2183
23	110	2187
24	114	2178
25	119	2169
26	123	2167
27	127	2156
28	132	2145
29	136	2133
30	140	2132
31	144	2120
32	147	2092
33	151	2081
34	156	2080
35	160	2070
36	164	2060
37	168	2051
38	173	2050
39	177	2044
40	181	2036
41	186	2029
42	190	2029
43	195	2021
44	199	2013
45	203	2011
46	208	2012
47	212	2003
48	216	1996
49	221	1997
50	226	1990
51	230	1984
52	234	1979
53	239	1974
54	243	1967
55	247	1961
56	251	1955
57	256	1951
58	260	1945
59	264	1938
60	269	1938
61	274	1935
62	278	1933
63	283	1932
64	288	1929
65	292	1924
66	298	1931
67	304	1933
68	310	1936
69	316	1941
70	322	1946
71	327	1946
72	332	1944
73	336	1939
74	341	1935
75	346	1931
76	350	1927
77	355	1921
78	359	1914
79	363	1910
80	368	1904
81	372	1897
82	376	1891
83	381	1889
84	386	1886
85	391	1883
86	395	1879
87	400	1875
88	404	1869
89	409	1864
90	414	1864
91	419	1861
92	424	1858
93	429	1854
94	433	1849
95	438	1843
96	442	1839
97	447	1834
98	451	1829
99	456	1824
100	461	1821
101	465	1816
102	470	1812
103	474	1807
104	479	1802
105	483	1796
106	487	1791
107	492	1787
108	496	1781
109	500	1775
110	504	1769
111	509	1765
112	513	1759
113	518	1754
114	522	1748
115	526	1743
116	530	1737
117	534	1731
118	539	1726
119	543	1721
120	547	1715
121	551	1710
122	556	1705
123	560	1700
124	565	1695
125	569	1690
126	574	1688
127	579	1683
128	583	1677
129	587	1673
130	592	1668
131	596	1662
132	600	1656
133	604	1652
134	609	1646
135	613	1640
136	617	1635
137	622	1632
138	626	1628
139	631	1622
140	635	1617
141	639	1613
142	644	1608
143	648	1603
144	652	1598
145	657	1593
146	661	1587
147	665	1582
148	670	1578
149	674	1573
150	678	1568
151	682	1563
152	687	1558
153	691	1553
154	694	1545
155	698	1540
156	703	1535
157	707	1530
158	711	1525
159	715	1520
160	720	1516
161	724	1510
162	728	1505
163	732	1500
164	736	1496
165	740	1490
166	745	1485
167	749	1481
168	754	1476
169	758	1471
170	762	1466
171	767	1463
172	771	1459
173	776	1454
174	781	1450
175	785	1446
176	789	1441
177	794	1436
178	799	1432
179	803	1428
180	807	1423
181	812	1418
182	817	1415
183	821	1411
184	825	1406
185	831	1402
186	835	1399
187	840	1394
188	845	1390
189	849	1386
190	853	1381
191	858	1376
192	863	1373
193	867	1368
194	872	1363
195	876	1359
196	881	1355
197	885	1350
198	890	1346
199	895	1342
200	899	1338
201	904	1334
202	908	1329
203	913	1325
204	918	1321
205	922	1317
206	927	1313
207	932	1308
208	936	1304
209	942	1301
210	946	1296
211	951	1292
212	955	1287
213	961	1284
214	965	1279
215	970	1275
216	975	1272
217	980	1268
218	985	1263
219	989	1259
220	994	1255
221	998	1250
222	1003	1246
223	1008	1242
224	1013	1238
225	1017	1233
226	1023	1230
227	1027	1226
228	1032	1221
229	1037	1217
230	1042	1213
231	1046	1209
232	1051	1204
233	1056	1200
234	1061	1196
235	1065	1191
236	1070	1188
237	1075	1184
238	1080	1180
239	1086	1176
240	1091	1172
241	1095	1168
242	1100	1164
243	1105	1160
244	1110	1155
245	1115	1151
246	1120	1147
247	1124	1142
248	1129	1138
249	1134	1134
250	1139	1130
251	1144	1126
252	1149	1122
253	1154	1118
254	1159	1113
255	1164	1109
256	1169	1105
257	1174	1101
258	1178	1096
259	1183	1092
260	1188	1088
261	1193	1084
262	1198	1080
263	1203	1076
264	1208	1071
265	1213	1067
266	1219	1063
267	1224	1059
268	1229	1055
269	1235	1052
270	1239	1047
271	1244	1043
272	1249	1039
273	1254	1034
274	1259	1030
275	1264	1026
276	1269	1021
277	1274	1017
278	1279	1013
279	1284	1008
280	1288	1004
281	1294	1000
282	1299	996
283	1304	991
284	1308	987
285	1314	983
286	1318	978
287	1323	974
288	1328	970
289	1333	965
290	1338	961
291	1343	957
292	1348	952
293	1353	948
294	1358	943
295	1363	939
296	1367	934
297	1372	930
298	1377	925
299	1382	921
300	1387	916
301	1392	912
302	1396	908
303	1401	903
304	1406	899
305	1411	894
306	1415	890
307	1420	885
308	1425	881
309	1430	876
310	1435	872
311	1441	868
312	1446	864
313	1451	859
314	1456	855
315	1461	851
316	1466	846
317	1472	842
318	1476	838
319	1481	833
320	1486	829
321	1491	824
322	1496	819
323	1500	815
324	1506	810
325	1510	806
326	1515	801
327	1521	797
328	1525	793
329	1530	788
330	1535	784
331	1540	779
332	1545	774
333	1550	770
334	1555	765
335	1560	761
336	1564	756
337	1569	752
338	1574	747
339	1579	743
340	1584	738
341	1589	734
342	1593	729
343	1599	725
344	1604	720
345	1608	716
346	1613	711
347	1619	707
348	1624	702
349	1629	698
350	1634	694
351	1639	689
352	1645	685
353	1651	681
354	1656	676
355	1661	671
356	1666	667
357	1671	663
358	1676	658
359	1681	654
360	1686	649
361	1691	644
362	1697	640
363	1701	635
364	1706	631
365	1711	626
366	1717	622
367	1722	617
368	1727	613
369	1732	608
370	1736	603
371	1741	599
372	1747	594
373	1752	590
374	1757	585
375	1762	581
376	1767	576
377	1772	572
378	1777	567
379	1782	562
380	1787	558
381	1793	553
382	1798	549
383	1802	544
384	1808	540
385	1813	535
386	1818	530
387	1823	526
388	1828	521
389	1833	517
390	1838	512
391	1844	508
392	1849	503
393	1854	498
394	1859	494
395	1864	489
396	1868	484
397	1874	480
398	1878	475
399	1883	470
400	1889	466
401	1893	461
402	1898	456
403	1903	452
404	1908	447
405	1913	443
406	1918	438
407	1923	433
408	1928	429
409	1933	424
410	1938	419
411	1943	415
412	1948	410
413	1953	405
414	1957	401
415	1962	396
416	1967	391
417	1972	387
418	1977	382
419	1982	377
420	1987	372
421	1992	368
422	1996	363
423	2002	358
424	2006	354
425	2011	349
426	2016	344
427	2021	340
428	2026	335
429	2031	330
430	2036	326
431	2041	321
432	2046	316
433	2052	312
434	2057	307
435	2062	302
436	2068	298
437	2073	293
438	2078	288
439	2083	284
440	2088	279
441	2093	274
442	2099	270
443	2104	265
444	2109	260
445	2114	256
446	2119	251
447	2124	246
448	2129	241
449	2134	237
450	2139	232
451	2145	227
452	2150	223
453	2155	218
454	2160	213
455	2165	208
456	2170	204
457	2175	199
458	2180	194
459	2185	190
460	2190	185
461	2196	180
462	2200	175
463	2205	171
464	2211	166
465	2216	161
466	2220	156
467	2226	152
468	2231	147
469	2235	142
470	2240	137
471	2245	133
472	2250	128
473	2255	123
474	2261	119
475	2266	114
476	2271	109
477	2277	104
478	2281	100
479	2286	95
480	2291	90
481	2296	85
482	2301	80
483	2306	76
484	2311	71
485	2316	66
486	2320	61
487	2326	57
488	2330	52
489	2335	47
490	2340	42
491	2345	38
492	2349	33
493	2354	28
494	2359	23
495	2364	19
496	2369	14
497	2374	9
498	2379	4
499	2383	0
